구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
,,학생,"선생님, 요즘 진로 때문에 고민이에요. 뭘 해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,혹시 관심 있는 분야나 좋아하는 과목은 있니?,,,,,,,,,,,
,,학생,수학이랑 과학은 좀 재미있어요. 근데 그걸로 진로를 정해도 되나요?,,,,,,,,,,,
,,선생님,수학과 과학을 좋아한다면 관련된 직업이나 학과를 탐색해보는 게 좋겠네. 너에게 맞는 길을 알아보는 게 진로 탐색의 시작이야.,,,,,,,,,,,
,,학생,우와 그런 분야도 있군요? 더 알아봐야겠어요.,,,,,,,,,,,
,,선생님,"그래, 관련 정보부터 찾아보자. 막연한 고민보다 탐색하는 과정에서 더 확신이 생길거야.",,,,,,,,,,,
011,진로탐색,선생님,"안녕, 오늘 어떤 고민이 있어서 상담을 신청했어?",,,,,,,,,,,
,,학생,저 얼마 전까지 경영학과를 목표로 공부를 했는데요... 요즘 제가 정말 하고 싶은 게 뭔지 다시 생각해 보고 있어요.,,,,,,,,,,,
,,선생님,특별한 계기가 있었니?,,,,,,,,,,,
,,학생,"경영동아리 활동을 해보니까, 제가 생각했던 것과 달라서요. 뭔가 재미도 없고...",,,,,,,,,,,
,,선생님,동아리 활동에서 어떤 점이 기대와 달랐어?,,,,,,,,,,,
,,학생,숫자랑 서류 작업이 많더라고요. 전 사람들이랑 소통하는 게 더 좋은 거 같아요.,,,,,,,,,,,
,,선생님,"그렇구나, 사람들과 소통하는 것을 좋아한다고 했는데, 구체적으로 어떤 방식의 소통이야?",,,,,,,,,,,
,,학생,음... 제가 봉사활동할 때 어르신들이랑 이야기 나누는 게 즐거웠어요. 그리고 동생들 공부 가르쳐주는 것도 좋아해요.,,,,,,,,,,,
,,선생님,봉사하고 교육하는 부분으로 진로를 생각해보는 것도 방법이겠다.,,,,,,,,,,,
012,진로 탐색,선생님,OO이 안녕! 자~ 오늘 진로 관련해서 고민이 있다고 했지?,,,,,,,,,,,
,,학생,넵. 저 웹툰 작가가 꿈인데요 어떻게 뭘 준비해야 할지 모르겠어요,,,,,,,,,,,
,,선생님,OO이는 웹툰 작가가 되고 싶구나!?! 혹시 웹툰작가에 대해 검색하거나 알아본 내용은 있니?,,,,,,,,,,,
,,학생,아뇨 하나도 없어요.,,,,,,,,,,,
,,선생님,그럼 우리 커리어넷에 들어가서 기본적인 정보부터 찾아보자,,,,,,,,,,,
,,학생,커리어넷이요? 그거 보긴 했는데 잘 이해가 안 가요,,,,,,,,,,,
,,선생님,"선생님이랑 같이 알아가면 되지! 우리 이거 수업 때 했던 건데, 이 양식에 맞춰서 커리어넷 정보를 찾아봐바 좀 더 정리하기 쉬울거야",,,,,,,,,,,
,,학생,아 이거 지난번에는 되고 싶은 게 없어서 못 적었던 건데.. 좋아요,,,,,,,,,,,
,,선생님,그래 ~ 그러면 이거 작성해서 좀 더 구체적인 계획을 준비해보자!,,,,,,,,,,,
013,진로탐색,학생,선생님 저 부모님이랑 문제가 있는데 상담 가능한가요?,,,,,,,,,,,
,,선생님,응 상담 가능해. 어떤 문제가 있는 거니?,,,,,,,,,,,
,,학생,"대학교 안 가고, 돈 모아서 카페 차리고 싶다고 솔직하게 말했다가 싸웠어요",,,,,,,,,,,
,,선생님,그랬구나 속상했겠다. 어떤 부분에서 서로 마찰이 생긴 걸까?,,,,,,,,,,,
,,학생,"터무니없는 소리 하지 말래요. 그냥 공부해서 대학교 졸업하고, 회사나 다니래요",,,,,,,,,,,
,,선생님,부모님과 평소에 대화는 자주 하니?,,,,,,,,,,,
,,학생,"대화가 없거나 사이가 나쁜 건 아니고요, 진지한 대화는 잘 안 해봤어요. 거의 처음으로 솔직하게 하고 싶은 걸 말한건데 안된다고만 하니까 화가 나더라고요.",,,,,,,,,,,
,,선생님,그랬구나 OO이는 왜 대학교를 안 가고 카페를 차리고 싶은 거야?,,,,,,,,,,,
,,학생,사실 빵에 관심이 있어서요. 제가 만든 빵을 파는 카페를 차리고 싶은거예요. 학교보다는 제과제빵이나 바리스타 자격증을 준비하고 싶구요.,,,,,,,,,,,
,,선생님,그런 부분도 부모님께 이야길 해봤어?,,,,,,,,,,,
,,학생,아뇨. 이야기 꺼내자마자 화를 내셔서 저도 말 못 했어요.,,,,,,,,,,,
,,선생님,부모님께도 선생님한테 말하는 것처럼 차근차근 OO이의 계획과 꿈을 말하면 좀 더 잘 들어주실 것 같거든. 무엇이 하고 싶다라는 말보다 무엇이 하고 싶어서 어떠한 계획을 갖고 있다란 걸 함께 이야기해보면 좋을 것 같아.,,,,,,,,,,,
,,학생,대화를 다시 시도해 보는 게 좋을까요?,,,,,,,,,,,
,,선생님,그럼 당연하지! 우선 계획을 갖고 한 번 더 이야기를 해봐! 그리고 부모님 반응을 본 뒤 우리 다시 상담을 해보자,,,,,,,,,,,
014,진로탐색,학생,선생님 저는 뷰티 유튜버가 되고 싶은데 어떤 과를 알아봐야 할까요?,,,,,,,,,,,
,,선생님,"뷰티 유튜버? OO이는 화장, 영상 촬영과 편집 중에 어떤 것에 더 관심이 있는 것 같아?",,,,,,,,,,,
,,학생,저는 화장하는 거요. 얼굴에 어떤 화장품을 어떻게 바르냐에 따라 달라지는 게 너무 신기해요,,,,,,,,,,,
,,선생님,정말 신기하긴 하지. 화장하는 것에 더 관심이 있다면 메이크업과 관련된 과를 찾아보면 좋을 것 같은데?,,,,,,,,,,,
,,학생,그쵸? 근데 화장하는 거 말고도 화장품 만드는 것도 배우고 싶어요.,,,,,,,,,,,
,,선생님,대단한걸? 우리 그러면 메이크업과 화장품 제조에 관련된 학과랑 대학교를 알아보자,,,,,,,,,,,
,,학생,어떻게 알아보면 좋을까요ㅠㅠ ,,,,,,,,,,,
,,선생님,"우선 워크넷이랑, 커리어넷에 들어가서 화장품, 메이크업, 화장 이런 중요 키워드들로 검색을 해보면 관련된 직업이나 전공이 자세히 나올거야. 그걸 알아오면 OO이의 관심과 더  잘 맞는 것들이 무엇인지 함께 추려보자!",,,,,,,,,,,
015,진로 탐색,학생,안녕하세요.,,,,,,,,,,,
,,선생님,환영해~ 무슨 일로 상담을 하고 싶은 건지 물어봐도 될까?,,,,,,,,,,,
,,학생,제가 지금 장래희망 때문에 엄마랑 갈등이 있어서요...,,,,,,,,,,,
,,선생님,"음, 부모님이 원하는 장래희망과 내가 원하는 장래희망이 서로 다른가 보구나.
",,,,,,,,,,,
,,학생,네. 저는 엄마를 설득해서 제가 원하는 진로로 나가고 싶어요.,,,,,,,,,,,
,,선생님,"우선, OO이와 부모님이 각각 원하는 장래희망이 무엇인지 알 수 있을까?",,,,,,,,,,,
,,학생,"저는 댄서가 되고 싶은데 엄마는 댄서는 오래 할 직업이 아니라면서, 안경사나 치과기공사가 어떻겠냐고 하세요.",,,,,,,,,,,
,,선생님,현재 OO이는 댄서가 되는 진로 계획을 어떻게 세우고 있니?,,,,,,,,,,,
,,학생,"일단 우리학교 댄스 동아리에서 연습하고 있고요, 그리고...
",,,,,,,,,,,
,,선생님,"좋아. OO이는 부모님과 많은 대화를 나눠봐야 할 것 같아. 오늘은 우선 선생님과 OO이의 입장을 잘 정리해 보자.
",,,,,,,,,,,
016,진로 탐색,학생,"선생님, 안녕하세요. 저 지난 주 진로 수업 시간에 궁금했던 거 더 여쭤보러 왔어요.",,,,,,,,,,,
,,선생님,"오~ 환영해. 그래, 어떤 게 더 궁금하니?",,,,,,,,,,,
,,학생,"저번 수업 시간에 미래에 각광 받는 직업 소개해 주셨잖아요. 그 중에서 특히 미래농업전문가에 대해 더 알고 싶은데, 어떻게 정보를 얻어야 할지 모르겠어서요.",,,,,,,,,,,
,,선생님,그랬구나! 어떤 점에서 그 직업에 흥미를 느꼈니?,,,,,,,,,,,
,,학생,"저희 아버지도 지금 농사를 하고 계시는데, 제가 곁에서 지켜보니까 앞으로 계속 농업에 미래 기술을 접목하는 게 중요할 것 같아서요. 제가 그 일을 하면 어떨까 상상하다가 오늘 상담실에 와 봤어요.",,,,,,,,,,,
,,선생님,멋지다!,,,,,,,,,,,
,,학생,미래농업전문가에 대한 정보를 얻으려면 어떻게 해야 할까요?,,,,,,,,,,,
,,선생님,"우선 온라인에서 관련 정보를 얻을 수도 있고, 또 해당 직업인을 만나보거나 관련 기관에 가 보는 것도 좋아. 미래농업전문가가 되기 위해 OO이가 준비해야 할 것들도 조사할 수 있지. 오늘 좀 더 구체적으로 정보를 찾아 볼까?",,,,,,,,,,,
017,진로 탐색,학생,쌤 제 꿈은 요리사인데요.. 근데 점점 불안해요,,,,,,,,,,,
,,선생님,어떤 부분이 가장 불안하다고 느껴지니?,,,,,,,,,,,
,,학생,"어릴 때는 직접 요리도 하고 했는데, 고등학교 들어오면서 요리는 안하게 되고 그냥 생기부 채우기만 하게 되는 것 같아요. 실전 경험이 부족하게 느껴져요. 부모님이 반대해서 일반고 왔는데 요리하는 시간이 아예 없으니까 대학교 가서 하면 뒤쳐질 것 같아요.",,,,,,,,,,,
,,선생님,실제로 요리하는 시간 없이 요리사가 되겠다고 하는 게 불안했구나. 요리사가 되기 위해서 직접 요리하는 것 말고 따로 시간을 내어 정보를 찾아본 적도 있니?,,,,,,,,,,,
,,학생,"찾아보려고는 하는데, 일반고니까 주변에 요리사랑 관련된 정보를 얻을 수 있는 사람도 거의 없고 상담할 사람도 많이 없는 것 같아서 혼자 막 찾아보려니까 힘들어서요. ",,,,,,,,,,,
,,선생님,"하고 싶은 직업은 명확한데, 준비하는 과정이 많이 막막해서 힘들었을 것 같아. 선생님이 요리사와 관련된 진로 직업 정보를 준비해서 전반적으로 진로 계획을 도와줄 수 있도록 상담해보면 좋을 것 같아. 어때?",,,,,,,,,,,
,,학생,네. 그리고 요리사 말고도 요리 관련된 직업 정보를 얻는데 도움을 주시면 좋겠어요,,,,,,,,,,,
,,선생님,그래 요리 관련된 직업정보로 폭넓게 상담을 진행해보자.,,,,,,,,,,,
,,학생,감사합니다.,,,,,,,,,,,
018,진로 탐색,학생,"안녕하세요. 저는 역사를 좋아하는데요. 관심도 많고 흥미도 있는데, 특히 지역 역사를 탐구하는 데에 흥미가 있어서요. 이거랑 관련된 분야의 진로가 있을까요?",,,,,,,,,,,
,,선생님,역사와 관련된 진로를 찾아보고 있구나. 특별히 생각하고 있는 학과나 직업이 있니?,,,,,,,,,,,
,,학생,연구직이 대부분일 것 같은데 그것도 구체적으로 알고 싶어서요,,,,,,,,,,,
,,선생님,그렇구나. 그러면 역사 분야를 중심으로 관련된 진로직업이 무엇이 있을지 상담하면서 구체적으로 진로를 정하는데에 도움을 줄 수 있을 것 같아.,,,,,,,,,,,
,,학생,감사합니다. 그리고 직업이랑 관련된 학과도 알고 싶어요.,,,,,,,,,,,
,,선생님,알겠어. 이번에 직업 중심으로 관련 학과가 뭐가 있는지 선생님이랑 상담해보자,,,,,,,,,,,
,,학생,네 감사합니다.,,,,,,,,,,,
019,진로 탐색,학생,"쌤 저 응급구조사 하려고 하는데, 어느 학과를 가야할 지 고민이에요",,,,,,,,,,,
,,선생님,그래? 직업은 명확하게 있는데 학과가 고민이구나. 그렇게 고민하게 된 이유가 있을까?,,,,,,,,,,,
,,학생,"일단 활동적인 직업을 갖고 싶어서 정한건데, 엄마랑 얘기해보니까 간호학과를 가서 응급구조사를 하는게 어떠냐고 해서요. 근데 지금 성적으로 간호학과 갈 수 있을지 잘 모르겠어서요",,,,,,,,,,,
,,선생님,부모님의 조언을 듣고 성적을 보니 고민하게 된 거구나. 어떤 학과로 선택을 고민하고 있는거야?,,,,,,,,,,,
,,학생,응급구조학과나 응급구조과랑 간호학과 사이에서요.,,,,,,,,,,,
,,선생님,그래도 00이가 응급구조사가 되려고 이것저것 많이 고민해본것 같네. 학과별로 무엇을 배우느냐도 다르니까 학과 정보를 선생님이 찾아서 상담해보면 진로를 결정하는데 도움이 될 수 있을 것 같은데 어떄?,,,,,,,,,,,
,,학생,네 좋아요 성적도 같이 봐주세요,,,,,,,,,,,
,,선생님,알겠어. 우선 이번에 학과정보를 먼저 알아보고 00이가 어떻게 준비하면 좋을지 알아보는걸로 하자,,,,,,,,,,,
,,학생,네 감사합니다.,,,,,,,,,,,
020,진로 탐색,학생,선생님 저는 나중에 스포츠 마케팅이나 경영을 하고 싶은데요. 경영학과랑 스포츠 산업학과 둘중에 어느걸 고르는게 더 나을까요?,,,,,,,,,,,
,,선생님,00이는 목표가 굉장히 명확하네! 구체적으로 어떤 학과를 거쳐야 할지 고민이 되겠구나. 둘 중에 고민하는 이유는 뭘까?,,,,,,,,,,,
,,학생,그거야 가장 관련 있는거니까요. 경영하려면 경영학과가 제일 낫고 스포츠관련해서는 스포츠 산업이 제일 맞는거 같아서요,,,,,,,,,,,
,,선생님,"특정 분야의 직업을 가지려면 진학하는 학과가 명확한 게 있는데, 그렇지 않은 경우라서 고민이 많았을 것 같아. 하지만 학과 별로 배우는 내용이 각각 달라서 00이가 생각하는 것과 다를 수도 있어. 선생님이 학과와 관련된 정보를 찾아서 상담하면 00이의 고민해결에 조금 도움을 줄 수 있을 것 같아.",,,,,,,,,,,
,,학생,좋아요. ,,,,,,,,,,,
,,선생님,상담해보면서 관련 분야의 학과를 살펴보면서 폭넓게 살펴보도록 하자,,,,,,,,,,,
,,학생,네 감사합니다.,,,,,,,,,,,
021,자아 탐색,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
